epoch,step,val_loss
0,1,2.270916223526001
1,3,2.2398955821990967
2,5,2.2097692489624023
3,7,2.1809639930725098
4,9,2.1290762424468994
5,11,2.0803141593933105
6,13,2.029074192047119
7,15,2.0093324184417725
8,17,1.9551432132720947
9,19,1.9518579244613647
