epoch,step,val_loss
0,1,2.3052074909210205
1,3,2.28499698638916
2,5,2.275073528289795
3,7,2.258566379547119
4,9,2.2324652671813965
5,11,2.1940693855285645
6,13,2.1534130573272705
7,15,2.103064775466919
8,17,2.04533052444458
9,19,1.9945831298828125
