epoch,step,val_loss
0,1,2.2744691371917725
1,3,2.23516583442688
2,5,2.179199695587158
3,7,2.1267104148864746
4,9,2.0802857875823975
5,11,2.0350003242492676
6,13,1.9880908727645874
7,15,1.9545185565948486
8,17,1.8991695642471313
9,19,1.876805067062378
